# from https://www.aanda.org/articles/aa/full_html/2011/07/aa16208-10/aa16208-10.html
# Note: deleted the WASP survey photometry, only kept follow-up
2455301.66018 0.987414  0.002598 EulerCAM     
2455301.66107 0.984516  0.002598 EulerCAM     
2455301.66196 0.986314  0.002598 EulerCAM     
2455301.66284 0.985014  0.002598 EulerCAM     
2455301.66372 0.983714  0.002599 EulerCAM     
2455301.66460 0.986412  0.002598 EulerCAM     
2455301.66548 0.980615  0.002598 EulerCAM     
2455301.66636 0.987710  0.002598 EulerCAM     
2455301.66724 0.983912  0.002598 EulerCAM     
2455301.66813 0.984111  0.002598 EulerCAM     
2455301.66901 0.983711  0.002598 EulerCAM     
2455301.66990 0.983610  0.002598 EulerCAM     
2455301.67078 0.984310  0.002598 EulerCAM     
2455301.67166 0.986707  0.002698 EulerCAM     
2455301.67254 0.989304  0.002698 EulerCAM     
2455301.67342 0.986306  0.002698 EulerCAM     
2455301.67430 0.983507  0.002699 EulerCAM     
2455301.67518 0.986805  0.002698 EulerCAM     
2455301.67605 0.984106  0.002698 EulerCAM     
2455301.67694 0.983406  0.002698 EulerCAM     
2455301.67783 0.982506  0.002698 EulerCAM     
2455301.67872 0.982305  0.002698 EulerCAM     
2455301.67960 0.984903  0.002698 EulerCAM     
2455301.68048 0.984902  0.002698 EulerCAM     
2455301.68136 0.988798  0.002698 EulerCAM     
2455301.68224 0.984901  0.002698 EulerCAM     
2455301.68311 0.983801  0.002698 EulerCAM     
2455301.68400 0.985699  0.002698 EulerCAM     
2455301.68487 0.983500  0.002698 EulerCAM     
2455301.68576 0.985098  0.002698 EulerCAM     
2455301.68665 0.982100  0.002698 EulerCAM     
2455301.68753 0.984597  0.002698 EulerCAM     
2455301.68842 0.986196  0.002698 EulerCAM     
2455301.68930 0.982998  0.002698 EulerCAM     
2455301.69017 0.985295  0.002698 EulerCAM     
2455301.69106 0.986194  0.002698 EulerCAM     
2455301.69194 0.983395  0.002698 EulerCAM     
2455301.69281 0.989590  0.002698 EulerCAM     
2455301.69369 0.982095  0.002698 EulerCAM     
2455301.69458 0.986092  0.002698 EulerCAM     
2455301.69547 0.985991  0.002698 EulerCAM     
2455301.69636 0.987790  0.002698 EulerCAM     
2455301.69724 0.985390  0.002698 EulerCAM     
2455301.69812 0.985790  0.002698 EulerCAM     
2455301.69899 0.987488  0.002698 EulerCAM     
2455301.69988 0.988986  0.002698 EulerCAM     
2455301.70075 0.984889  0.002698 EulerCAM     
2455301.70163 0.984088  0.002698 EulerCAM     
2455301.70251 0.985087  0.002698 EulerCAM     
2455301.70340 0.987285  0.002798 EulerCAM     
