WASP-5b  H2 2454756.772069    19.90027   0.00690     600
WASP-5b  H2 2454756.780067    19.90065   0.00678     600
WASP-5b  H2 2454756.788295    19.88500   0.00731     600
WASP-15b C1 2454531.814597    -2.26646   0.01478    1801
WASP-15b C1 2454532.722143    -2.35660   0.01795    1801
WASP-15b C1 2454533.746849    -2.33893   0.01512    1801
WASP-15b C1 2454534.877800    -2.24444   0.01510    1801
WASP-15b C1 2454535.734111    -2.27377   0.01376    1801
WASP-15b C1 2454536.666620    -2.37725   0.01261    1801
WASP-15b C1 2454537.780541    -2.33201   0.00992    1801
WASP-15b C1 2454538.745908    -2.25366   0.01081    1801
WASP-15b C1 2454556.794821    -2.27983   0.01122    1801
WASP-15b C1 2454557.748799    -2.24646   0.01339    1801
WASP-15b C1 2454558.733390    -2.35678   0.01057    1801
WASP-15b C1 2454559.747899    -2.35637   0.01085    1801
WASP-15b C1 2454560.615839    -2.27820   0.01189    1801
WASP-15b C1 2454589.658970    -2.39063   0.01261    1801
WASP-15b C1 2454591.635494    -2.26077   0.01184    1801
WASP-15b C1 2454655.468928    -2.25970   0.01109    1801
WASP-15b C1 2454656.516477    -2.34362   0.01056    1801
WASP-15b C1 2454657.613442    -2.28634   0.01558    1801
WASP-15b C1 2454662.520488    -2.24271   0.00960    1801
WASP-15b C1 2454663.587927    -2.32780   0.01314    1801
WASP-15b C1 2454664.593196    -2.35564   0.01468    1801
WASP-15b C1 2454834.855119    -2.25263   0.01138    1801
WASP-15b C1 2454835.854025    -2.29142   0.01198    1801
WASP-15b C1 2454840.827799    -2.34679   0.01314    1801
WASP-15b C1 2454859.843943    -2.35241   0.01213    1801
WASP-15b C1 2454881.821230    -2.36013   0.01160    1801
WASP-15b C1 2454882.776419    -2.33694   0.01217    1801
WASP-15b C1 2454884.763791    -2.31248   0.01155    1801
WASP-15b C1 2454889.711779    -2.36367   0.01480    1801
WASP-15b C1 2454890.844581    -2.28402   0.01194    1801
WASP-15b C1 2454891.761831    -2.24770   0.01257    1801
WASP-15b C1 2454939.677986    -2.26803   0.01438    1801
WASP-15b C1 2454943.706114    -2.26328   0.01040    1801
WASP-15b C1 2454945.776216    -2.38071   0.01152    1801
WASP-15b C1 2454947.626310    -2.25749   0.01094    1801
WASP-15b C1 2454948.804753    -2.33422   0.01136    1801
WASP-15b C1 2454949.833876    -2.39783   0.01413    1801
WASP-15b C1 2454971.575204    -2.34588   0.02533    1801
WASP-15b C1 2454973.614431    -2.25744   0.01122    1801
WASP-15b C1 2454975.565332    -2.33745   0.01238    1801
WASP-15b C1 2454983.719667    -2.33892   0.01251    1801
WASP-15b C1 2454995.532602    -2.30644   0.01228    1801
WASP-15b C1 2454996.512783    -2.24056   0.01272    1801
WASP-15b C1 2455011.611762    -2.24270   0.02538    1801
WASP-15b H2 2454947.563543    -2.23262   0.00254    1800
WASP-15b H2 2454947.812040    -2.22718   0.00256    1800
WASP-15b H2 2454948.542784    -2.27576   0.00475     600
WASP-15b H2 2454948.549428    -2.28213   0.00535     500
WASP-15b H2 2454948.555099    -2.29438   0.00598     400
WASP-15b H2 2454948.560029    -2.28980   0.00601     400
WASP-15b H2 2454948.565111    -2.28430   0.00636     400
WASP-15b H2 2454948.570192    -2.28446   0.00600     400
WASP-15b H2 2454948.575134    -2.28779   0.00585     400
WASP-15b H2 2454948.580168    -2.29174   0.00598     400
WASP-15b H2 2454948.585261    -2.29353   0.00592     400
WASP-15b H2 2454948.590284    -2.30613   0.00571     400
WASP-15b H2 2454948.595319    -2.29820   0.00582     400
WASP-15b H2 2454948.600400    -2.29954   0.00600     400
WASP-15b H2 2454948.605435    -2.29201   0.00570     400
WASP-15b H2 2454948.610423    -2.29414   0.00585     400
WASP-15b H2 2454948.615423    -2.28089   0.00602     400
WASP-15b H2 2454948.620458    -2.28480   0.00607     400
WASP-15b H2 2454948.625539    -2.28205   0.00590     400
WASP-15b H2 2454948.630481    -2.29198   0.00621     400
WASP-15b H2 2454948.635562    -2.28189   0.00646     400
WASP-15b H2 2454948.640609    -2.27422   0.00615     400
WASP-15b H2 2454948.645690    -2.29462   0.00599     400
WASP-15b H2 2454948.650713    -2.27658   0.00615     400
WASP-15b H2 2454948.655701    -2.26646   0.00636     400
WASP-15b H2 2454948.660747    -2.28384   0.00643     400
WASP-15b H2 2454948.665724    -2.26487   0.00670     400
WASP-15b H2 2454948.670852    -2.27511   0.00731     400
WASP-15b H2 2454948.675886    -2.27851   0.00701     400
WASP-15b H2 2454948.680967    -2.26950   0.00638     400
WASP-15b H2 2454948.685921    -2.26493   0.00605     400
WASP-15b H2 2454948.690863    -2.26981   0.00596     400
WASP-15b H2 2454948.695944    -2.28244   0.00585     400
WASP-15b H2 2454948.701083    -2.26951   0.00609     400
WASP-15b H2 2454948.706083    -2.27611   0.00591     400
WASP-15b H2 2454948.711072    -2.25143   0.00605     400
WASP-15b H2 2454948.716141    -2.27273   0.00633     400
WASP-15b H2 2454948.721188    -2.29240   0.00623     400
WASP-15b H2 2454948.726269    -2.31018   0.00619     400
WASP-15b H2 2454948.731245    -2.31258   0.00684     400
WASP-15b H2 2454948.736326    -2.29523   0.00650     400
WASP-15b H2 2454948.741361    -2.31158   0.00604     400
WASP-15b H2 2454948.746350    -2.30475   0.00604     400
WASP-15b H2 2454948.751396    -2.29752   0.00608     400
WASP-15b H2 2454948.757009    -2.30602   0.00560     500
WASP-15b H2 2454948.763641    -2.31262   0.00522     600
WASP-15b H2 2454948.770783    -2.29795   0.00606     600
WASP-15b H2 2454948.778572    -2.30931   0.00609     600
WASP-15b H2 2454948.831697    -2.31076   0.00271    1800
WASP-15b H2 2454949.553111    -2.36641   0.00249    1800
