# From https://iopscience.iop.org/article/10.3847/1538-3881/aae1f5
#Title: Radial velocities from the N2K Project: 6 new cold gas giant planets 
#       orbiting HD-55696, HD-98736, HD-148164, HD-203473, and HD-211810 
#Authors: Ment K., Fischer D.A., Bakos G., Howard A.W., Isaacson H. 
#Table: Radial velocities for N2K stars
#================================================================================
#Byte-by-byte Description of file: ajaae1f5t2_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label  Explanations
#--------------------------------------------------------------------------------
#   1- 10 A10    --      Name   Name of the star
#  12- 21 F10.4  d       JD     Julian Date, JD-2440000
#  23- 40 F18.11 m/s     RVel   Radial Velocity
#  42- 52 F11.7  m/s   e_RVel   Radial Velocity Error
#  54- 59 F6.4   --      SHK    []? Ca II H&K line emission indicator
#--------------------------------------------------------------------------------
HAT-P-4    15285.0030     27.22413800000   2.5637500 0.1430 
HAT-P-4    15285.0070     14.13964700000   2.5070400 0.1430 
HAT-P-4    15285.0120      5.06235230000   2.8171300 0.1430 
HAT-P-4    15285.0160     15.86397100000   2.7599000 0.1430 
HAT-P-4    15285.0330    -17.87479800000   2.9246400 0.1430 
HAT-P-4    15285.0380     -8.33365990000   2.8288500 0.1430 
HAT-P-4    15285.0430    -24.61203000000   2.8903400 0.1430 
HAT-P-4    15285.0480    -14.73307200000   2.7225300 0.1430 
HAT-P-4    15285.0610    -37.81112100000   2.8903700 0.1390 
HAT-P-4    15285.0670    -39.83283400000   2.9501300 0.1390 
HAT-P-4    15285.0720    -43.98032600000   2.7018700 0.1390 
HAT-P-4    15285.0780    -37.33569700000   2.8027200 0.1390 
HAT-P-4    15285.0920    -53.38424900000   2.8132700 0.1390 
HAT-P-4    15285.0970    -49.96603600000   2.8409100 0.1390 
HAT-P-4    15285.1020    -46.80150000000   2.9548400 0.1390 
HAT-P-4    15285.1070    -44.32228500000   2.8543300 0.1390 
HAT-P-4    15285.1230    -21.99148800000   2.7927800 0.1390 
HAT-P-4    15285.1300    -16.26571900000   3.2547900 0.1390 
HAT-P-4    15285.1360    -20.54379500000   3.0925800 0.1390 
HAT-P-4    15289.9650     53.97634900000   2.7883200 0.1440 
HAT-P-4    15290.0940     56.98587600000   2.9982400 0.1430 
HAT-P-4    15411.7580    -16.69353600000   2.1087600 0.1450 
HAT-P-4    15412.7560     83.90844500000   2.4447100 0.1450 
HAT-P-4    15425.7450    -13.54834300000   2.4843300 0.1430 
HAT-P-4    15426.7420    -46.21855200000   2.1088800 0.1480 
HAT-P-4    15427.7490     87.57575400000   2.4577900 0.1460 
HAT-P-4    15428.7480    -24.69141000000   2.5089100 0.1480 
HAT-P-4    15434.7340     46.29539100000   2.2792200 0.1460 
HAT-P-4    15437.7380     31.01443700000   2.8433500 0.1410 
HAT-P-4    15438.7380    -66.16802100000   2.7497400 0.1420 
HAT-P-4    15440.7330     37.09199700000   2.6989100 0.1450 
HAT-P-4    15455.7550     53.92272200000   2.8720300 0.1430 
HAT-P-4    15464.7270     76.18286400000   2.9218900 0.1400 
HAT-P-4    15465.7190    -56.72088800000   2.9530100 0.1420 
HAT-P-4    16018.9340    -45.26189300000   3.6827200 0.1250 
HAT-P-4    16112.7550     97.63599400000   3.2454100 0.1490 
HAT-P-4    16889.7350     -1.76423310000   3.2038000 0.1510 
HAT-P-4    17203.9390    108.40896000000   3.2806800 0.1460 
HD-10013   13982.0240      1.96817650000   0.7316460 0.1930 
HD-10013   13982.9760     -0.41052690000   0.7758930 0.1950 
HD-10013   13983.9240     -1.96374150000   0.7031840 0.1940 
HD-10013   14428.8440      0.25040246000   0.9562820 0.1930 
HD-10015   13981.9180   2812.57330000000   0.6223620 0.1870 
HD-10015   13982.9790   2681.36340000000   0.6252620 0.1860 
HD-10015   13983.9170   2554.67800000000   0.5195420 0.1870 
HD-10015   14085.9470  -8157.56690000000   0.9639020 0.1800 
HD-101348  13015.1770   -300.50900000000   2.1530300        
HD-101348  13016.1440   -303.39800000000   2.1058000        
HD-101348  13017.1320   -292.99900000000   2.0214700        
HD-101348  13044.1560   -223.77700000000   1.6763600        
HD-101348  13046.0210   -224.60800000000   1.7304300        
HD-101348  13068.9460   -157.82300000000   2.3690800        
HD-101348  13071.8740   -148.31500000000   1.6746500        
HD-101348  13073.9440   -139.65700000000   2.1200000        
HD-101348  13076.9510   -137.67400000000   2.5112400        
HD-101348  13153.7720     75.13660000000   1.7788100        
HD-101348  14086.1560   1859.07000000000   1.7805000 0.1360 
HD-101675  13777.9580      3.59448550000   0.4789170 0.2300 
HD-101675  13779.9840     -6.20594620000   0.4503020 0.2300 
HD-101675  13781.0820      0.67025086000   0.4609190 0.2290 
HD-101847  13015.1750     23.61974300000   2.7909300        
HD-101847  13016.1460    -21.23407800000   2.7279900        
HD-101847  13017.1340     36.20871700000   2.7132400        
HD-101847  13046.0250     12.24729900000   2.2643000        
HD-101847  13068.9720     17.01577700000   3.5615600        
HD-101847  13153.7790      1.22557000000   2.6781000        
HD-101847  13180.7670     18.03567400000   3.0460800        
HD-101847  13181.7850      3.11666810000   2.3307200        
HD-101847  13724.0940     12.54837400000   1.7781000 0.3470 
HD-101847  13725.0890     -4.75003190000   1.7839800 0.3480 
HD-101847  13748.0760     -1.76563770000   1.3890600 0.3460 
HD-101847  13753.1390    -23.79639800000   1.2512500 0.3410 
HD-101847  13754.0870    -26.14547600000   1.5477700 0.3360 
HD-101847  13776.0020     27.91914300000   1.7488700 0.3410 
HD-101847  13776.9990     47.28651800000   2.1763400 0.3490 
HD-101847  13806.9250    -37.11312700000   2.5777000 0.3530 
HD-101847  15668.9520      6.20867380000   2.1140900 0.3190 
