# From https://iopscience.iop.org/article/10.1088/0004-6256/144/5/139
#
#Title: HAT-P-39b - HAT-P-41b: Three Highly Inflated Transiting Hot Jupiters
#Authors: Hartman J.D., Bakos G.A., Beky B., Torres G., Latham D.W., Csubry Z., 
#         Penev K., Shporer A., Fulton B.J., Buchhave L.A., Johnson J.A., 
#         Howard A.W., Marcy G.W., Fischer D.A., Kovacs G., Noyes R.W., 
#         Esquerdo G.A., Everett M., Szklenar T., Quinn S.N., Bieryla A., 
#         Knox R.P., Hinz P., Sasselov D.D., Furesz G., Stefanik R.P., Lazar J.,
#         Papp I., Sari P. 
#Table: High-precision differential photometry of HAT-P-41
#================================================================================
#Byte-by-byte Description of file: aj445162t8_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label   Explanations
#--------------------------------------------------------------------------------
#   1- 11 F11.5  d       BJD     Barycentric Julian Date; 2400000+ (1)
#  13- 20 F8.5   mag     mag     Processed magnitude in Filter (2)
#  22- 28 F7.5   mag   e_mag     The 1{sigma} error in mag
#  30- 37 F8.5   mag     Omag    Original magnitude in Filter (3)
#      39 A1     ---     Filter  Filter used in the observation
#--------------------------------------------------------------------------------
#Note (1): Calculated directly from UTC, with- out correction for leap seconds.
#Note (2): The out-of-transit level has been subtracted. These magnitudes have 
#          been subjected to the EPD and TFA procedures, carried out 
#          simultaneously with the transit fit.
#Note (3): Raw magnitude values without application of the EPD and TFA 
#          procedures.
#--------------------------------------------------------------------------------
#FLWO
55344.87632  0.01411 0.00072 10.01230 i 
55344.87699  0.01414 0.00073 10.01330 i 
55344.87767  0.01170 0.00072 10.01170 i 
55344.87838  0.01303 0.00072 10.01230 i 
55344.87910  0.01268 0.00072 10.01170 i 
55344.87977  0.01265 0.00072 10.01180 i 
55344.88046  0.01362 0.00072 10.01270 i 
55344.88112  0.01370 0.00072 10.01250 i 
55344.88179  0.01268 0.00072 10.01110 i 
55344.88247  0.01346 0.00072 10.01170 i 
55344.88316  0.01127 0.00072 10.01050 i 
55344.88384  0.01338 0.00073 10.01250 i 
55344.88454  0.01173 0.00072 10.01130 i 
55344.88522  0.01204 0.00072 10.01030 i 
55344.88589  0.01520 0.00072 10.01290 i 
55344.88658  0.01282 0.00071 10.01180 i 
55344.88726  0.01190 0.00072 10.00980 i 
55344.88794  0.01046 0.00072 10.00910 i 
55344.88862  0.01035 0.00072 10.00950 i 
55344.88931  0.01070 0.00072 10.00870 i 
55344.89000  0.01193 0.00072 10.01030 i 
55344.89068  0.01128 0.00072 10.01020 i 
55344.89138  0.01220 0.00072 10.01050 i 
55344.89205  0.01403 0.00072 10.01140 i 
55344.89272  0.01052 0.00072 10.00910 i 
55344.89342  0.01352 0.00072 10.01070 i 
55344.89409  0.01135 0.00071 10.00930 i 
55344.89475  0.01279 0.00072 10.01080 i 
55344.89543  0.01092 0.00071 10.00980 i 
55344.89610  0.01480 0.00072 10.01310 i 
55344.89677  0.01337 0.00072 10.01230 i 
55344.89747  0.01164 0.00071 10.01090 i 
55344.89814  0.01306 0.00072 10.01140 i 
55344.89882  0.01245 0.00072 10.01100 i 
55344.89955  0.01047 0.00072 10.00960 i 
55344.90026  0.01120 0.00071 10.00940 i 
55344.90094  0.01234 0.00072 10.01040 i 
55344.90161  0.01193 0.00072 10.00990 i 
55344.90229  0.01018 0.00071 10.00820 i 
55344.90298  0.01236 0.00072 10.01080 i 
55344.90366  0.01312 0.00072 10.01070 i 
55344.90433  0.01308 0.00072 10.01120 i 
55344.90503  0.01186 0.00071 10.01090 i 
55344.90570  0.01319 0.00072 10.01110 i 
55344.90638  0.01439 0.00072 10.01230 i 
55344.90706  0.01251 0.00071 10.01100 i 
55344.90775  0.01204 0.00072 10.01050 i 
55344.90843  0.01132 0.00072 10.01010 i 
55344.90911  0.01004 0.00072 10.00980 i 
55344.90978  0.01296 0.00072 10.01190 i 
55344.91045  0.01298 0.00072 10.01180 i 
55344.91111  0.01116 0.00072 10.01140 i 
55344.91177  0.01295 0.00072 10.01200 i 
55344.91246  0.01147 0.00072 10.01080 i 
55344.91314  0.01348 0.00072 10.01330 i 
55344.91382  0.01185 0.00072 10.01110 i 
55344.91448  0.01156 0.00072 10.01080 i 
55344.91515  0.01041 0.00072 10.01150 i 
55344.91581  0.00978 0.00072 10.01130 i 
55344.91648  0.01147 0.00072 10.01270 i 
55344.91714  0.01060 0.00072 10.01120 i 
55344.91782  0.01246 0.00072 10.01250 i 
55344.91850  0.01205 0.00072 10.01140 i 
55344.91917  0.01127 0.00072 10.01180 i 
55344.91995  0.01234 0.00072 10.01170 i 
55344.92063  0.01166 0.00072 10.01190 i 
55344.92131  0.01100 0.00072 10.01050 i 
55344.92199  0.01141 0.00072 10.01120 i 
55344.92268  0.00927 0.00071 10.00960 i 
55344.92336  0.00986 0.00072 10.00960 i 
55344.92404  0.01077 0.00072 10.01070 i 
55344.92473  0.01190 0.00072 10.01110 i 
55344.92541  0.01350 0.00072 10.01290 i 
55344.92610  0.01123 0.00072 10.01110 i 
55344.92676  0.00836 0.00071 10.00830 i 
55344.92743  0.01048 0.00072 10.01100 i 
55344.92809  0.00885 0.00072 10.00840 i 
